ISO,Name,Population,_id,contients,continents
IN,India,1402420930,621b6c4e0f1e033fc8c06c3e,,"[""621b6e1b0f1e033fc8c06c48""]"
US,USA,332915073,621b6c8b0f1e033fc8c06c3f,,"[""621b6e7b0f1e033fc8c06c4f""]"
AUS,Australia,25987867,621b6d240f1e033fc8c06c41,,"[""621b6de50f1e033fc8c06c47""]"
GER,Germany,84225935,621b6d660f1e033fc8c06c42,,"[""621b6e480f1e033fc8c06c4d""]"
CAN,Canada,38288018,621b6d890f1e033fc8c06c43,,"[""621b6e7b0f1e033fc8c06c4f""]"
swed,Sweden,10203324,621b6da90f1e033fc8c06c44,,"[""621b6e480f1e033fc8c06c4d""]"
moroc,Morocco,37632126,621b6eb30f1e033fc8c06c53,,"[""621b6e910f1e033fc8c06c50""]"
NII,Nigeria,214545286,621b6ede0f1e033fc8c06c54,,"[""621b6e910f1e033fc8c06c50""]"
CHIN,china,14485086609,621b71c00f1e033fc8c06c79,,"[""621b6e1b0f1e033fc8c06c48""]"
FR,France,65512203,621b72580f1e033fc8c06c7e,"[""621b6e480f1e033fc8c06c4d""]",
